Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,lat,lng
France,Paris,Sorbonne University,Data Analytics,Master,2.0,4500,84.3,1800,99,850,0.92,48.8534951,2.3483915
Ireland,Dublin,Trinity College Dublin,Computer Science,PhD,4.0,18900,83.6,1700,150,750,0.92,53.3493795,-6.2605593
USA,Chicago,University of Chicago,Data Science,Master,2.0,58000,84.1,1900,160,1500,1.0,41.8755616,-87.6244212
UK,Cambridge,Anglia Ruskin University,Data Analytics,Bachelor,3.0,35000,71.2,1500,485,800,0.79,52.2055314,0.1186637
Switzerland,Lausanne,EPFL,Computer Science,PhD,4.0,1500,119.8,1900,140,1200,0.89,46.5218269,6.6327025
France,Lyon,University of Lyon,Data Science,Master,2.0,4200,75.6,1200,99,850,0.92,45.7578137,4.8320114
Ireland,Cork,University College Cork,Computer Science,Master,2.0,16800,75.4,1300,150,750,0.92,51.903614,-8.468399
USA,Boston,Northeastern University,Data Analytics,Master,2.0,54000,82.1,2200,160,1500,1.0,42.3554334,-71.060511
UK,Edinburgh,Heriot-Watt University,Computer Science,Master,1.0,37000,67.8,1200,485,800,0.79,55.9533456,-3.1883749
Switzerland,Geneva,University of Geneva,Data Science,Master,2.0,1500,116.5,1800,140,1200,0.89,46.2017559,6.1466014
France,Toulouse,University of Toulouse,Computer Science,Bachelor,3.0,4000,71.2,900,99,850,0.92,43.6044622,1.4442469
Ireland,Galway,NUI Galway,Data Analytics,Master,2.0,15900,72.3,1100,150,750,0.92,53.2744122,-9.0490601
USA,Seattle,University of Washington,Data Science,PhD,4.0,51000,77.8,2100,160,1500,1.0,47.6038321,-122.330062
UK,Birmingham,University of Birmingham,Computer Science,Master,1.0,36000,65.4,1100,485,800,0.79,52.4796992,-1.9026911
Switzerland,Basel,University of Basel,Data Science,Master,2.0,1500,114.3,1700,140,1200,0.89,47.5581077,7.5878261
France,Bordeaux,University of Bordeaux,Data Analytics,Master,2.0,4300,72.1,1000,99,850,0.92,44.841225,-0.5800364
Ireland,Limerick,University of Limerick,Computer Science,Bachelor,4.0,15400,71.2,1000,150,750,0.92,52.668018,-8.630498
USA,Austin,UT Austin,Computer Science,Master,2.0,49000,68.9,1800,160,1500,1.0,30.2711286,-97.7436995
UK,Manchester,University of Salford,Data Science,Master,1.0,35000,65.4,1000,485,800,0.79,53.4794892,-2.2451148
Switzerland,St. Gallen,University of St. Gallen,Data Analytics,Master,2.0,1500,112.1,1600,140,1200,0.89,47.425618,9.3762397
France,Nice,University of Nice,Computer Science,Master,2.0,4100,76.5,1300,99,850,0.92,43.7009358,7.2683912
Ireland,Maynooth,Maynooth University,Data Science,PhD,4.0,14900,70.1,950,150,750,0.92,53.381290,-6.591850
USA,Denver,University of Denver,Data Analytics,Master,2.0,47000,69.8,1700,160,1500,1.0,39.742043,-104.991531
UK,Leeds,Leeds Beckett University,Computer Science,Bachelor,3.0,34000,63.2,900,485,800,0.79,53.7974185,-1.5437941
Switzerland,Bern,University of Bern,Data Science,Master,2.0,1500,110.4,1500,140,1200,0.89,46.9484742,7.4521749
France,Lille,University of Lille,Data Analytics,PhD,4.0,4200,69.8,950,99,850,0.92,50.6365654,3.0635282
Ireland,Waterford,Waterford IT,Computer Science,Master,2.0,14500,68.9,900,150,750,0.92,52.2609997,-7.1119081
USA,Portland,Portland State University,Data Science,Master,2.0,45000,71.2,1600,160,1500,1.0,45.5202471,-122.674194
UK,Bristol,UWE Bristol,Computer Science,Master,1.0,33000,68.9,1100,485,800,0.79,51.4538022,-2.5972985
Switzerland,Lugano,USI Lugano,Data Analytics,Master,2.0,1500,108.9,1400,140,1200,0.89,46.0050102,8.9520281
France,Strasbourg,University of Strasbourg,Computer Science,Master,2.0,4000,70.2,1000,99,850,0.92,48.584614,7.7507127
Ireland,Sligo,IT Sligo,Data Science,Bachelor,4.0,14000,67.5,850,150,750,0.92,54.2720696,-8.4751357
USA,Minneapolis,University of Minnesota,Computer Science,PhD,4.0,48000,72.3,1700,160,1500,1.0,44.9772995,-93.2654692
UK,Cardiff,Cardiff University,Data Analytics,Master,1.0,34000,64.5,950,485,800,0.79,51.4816546,-3.1791934
Switzerland,Fribourg,University of Fribourg,Computer Science,Master,2.0,1500,107.8,1300,140,1200,0.89,46.8055656,7.1612669
France,Grenoble,Grenoble INP,Data Science,Master,2.0,4100,71.5,1100,99,850,0.92,45.1875602,5.7357819
Ireland,Athlone,Athlone IT,Data Analytics,Master,2.0,13800,66.7,800,150,750,0.92,53.4228434,-7.9425897
Norway,Oslo,University of Oslo,Computer Science,Master,2.0,0,83.2,1400,275,700,10.45,59.9133301,10.7389701
Finland,Helsinki,University of Helsinki,Data Science,Master,2.0,0,79.4,1200,350,650,0.92,60.1674881,24.9427473
Germany,Berlin,Technical University Berlin,Mechanical Engineering,Master,2.0,0,68.9,1100,110,900,0.92,52.510885,13.3989367
Denmark,Copenhagen,University of Copenhagen,Physics,PhD,4.0,0,82.1,1500,450,800,7.45,55.6867243,12.5700724
Norway,Trondheim,NTNU,Robotics,Master,2.0,0,75.6,1100,275,700,10.45,63.4304475,10.3952118
Finland,Espoo,Aalto University,Computer Engineering,Bachelor,3.0,0,77.8,1000,350,650,0.92,60.2049651,24.6559808
Germany,Munich,LMU Munich,Mathematics,PhD,4.0,0,71.5,1300,110,900,0.92,48.1371079,11.5753822
Denmark,Aarhus,Aarhus University,Data Analytics,Master,2.0,0,76.5,1200,450,800,7.45,56.1496278,10.2134046
Norway,Bergen,University of Bergen,Artificial Intelligence,Master,2.0,0,74.3,1200,275,700,10.45,60.3943055,5.3259192
Finland,Tampere,Tampere University,Software Engineering,Master,2.0,0,72.1,900,350,650,0.92,61.4980214,23.7603118
Germany,Dresden,TU Dresden,Computer Science,Bachelor,3.0,0,65.4,900,110,900,0.92,51.0493286,13.7381437
Denmark,Odense,University of Southern Denmark,Biotechnology,Master,2.0,0,73.2,1100,450,800,7.45,55.3997225,10.3852104
Norway,Tromsø,UiT Arctic University,Marine Technology,PhD,4.0,0,71.2,1000,275,700,10.45,69.6516345,18.9558585
Finland,Turku,University of Turku,Bioinformatics,Master,2.0,0,71.8,850,350,650,0.92,60.4517531,22.2670522
Germany,Hamburg,TU Hamburg,Electrical Engineering,Master,2.0,0,69.8,1200,110,900,0.92,53.550341,10.000654
Denmark,Aalborg,Aalborg University,Energy Engineering,Bachelor,3.0,0,71.5,1000,450,800,7.45,57.0462626,9.9215263
Norway,Stavanger,University of Stavanger,Petroleum Engineering,Master,2.0,0,72.4,1100,275,700,10.45,58.9699675,5.7318101
Finland,Oulu,University of Oulu,Computer Science,PhD,4.0,0,70.2,800,350,650,0.92,65.0117869,25.4701983
Germany,Stuttgart,University of Stuttgart,Aerospace Engineering,Master,2.0,0,68.7,1100,110,900,0.92,48.7784485,9.1800132
Denmark,Roskilde,Roskilde University,Environmental Science,Master,2.0,0,70.8,1000,450,800,7.45,55.6433478,12.0819247
Norway,Ås,Norwegian University of Life Sciences,Biotechnology,Master,2.0,0,70.5,900,275,700,10.45,59.6792808,10.7741636
Finland,Vaasa,University of Vaasa,Industrial Management,Master,2.0,0,69.8,800,350,650,0.92,63.0957722,21.6159187
Germany,Karlsruhe,KIT,Mechatronics,PhD,4.0,0,67.9,1000,110,900,0.92,49.0068705,8.4034195
Denmark,Lyngby,Technical University of Denmark,Quantum Engineering,Master,2.0,0,81.2,1400,450,800,7.45,55.7718649,12.5051413
Norway,Bodø,Nord University,Marine Biology,Bachelor,3.0,0,69.4,850,275,700,10.45,67.2844313,14.3817503
Finland,Jyväskylä,University of Jyväskylä,Data Science,Master,2.0,0,68.7,750,350,650,0.92,62.2417066,25.7495727
Germany,Darmstadt,TU Darmstadt,Computer Engineering,Master,2.0,0,66.8,950,110,900,0.92,49.8851869,8.6736295
Denmark,Kolding,University of Southern Denmark,Software Engineering,PhD,4.0,0,69.5,900,450,800,7.45,55.4894999,9.47905
Norway,Gjøvik,NTNU Gjøvik,Information Security,Master,2.0,0,68.9,800,275,700,10.45,60.8721617,10.5038864
Finland,Lappeenranta,LUT University,Industrial Engineering,Master,2.0,0,67.5,700,350,650,0.92,61.0583713,28.1862742
Germany,Bremen,University of Bremen,Robotics,Master,2.0,0,66.5,900,110,900,0.92,53.0758196,8.8071646
Denmark,Esbjerg,University of Southern Denmark,Environmental Engineering,Master,2.0,0,68.4,850,450,800,7.45,55.4664892,8.4520751
Norway,Kristiansand,University of Agder,Renewable Energy,PhD,4.0,0,67.8,850,275,700,10.45,58.0856276,7.931858
Finland,Kuopio,University of Eastern Finland,Environmental Science,Bachelor,3.0,0,66.9,700,350,650,0.92,62.8924601,27.6781839
Germany,Aachen,RWTH Aachen,Materials Science,Master,2.0,0,68.9,1000,110,900,0.92,50.776351,6.083862
Denmark,Slagelse,University of Copenhagen,Bioinformatics,Master,2.0,0,67.5,900,450,800,7.45,55.4061196,11.3525415
Norway,Horten,University of South-Eastern Norway,Systems Engineering,Master,2.0,0,66.7,800,275,700,10.45,59.4101728,10.4437392
Finland,Joensuu,University of Eastern Finland,Forestry Sciences,PhD,4.0,0,65.8,650,350,650,0.92,62.6005753,29.7622128
Germany,Jena,University of Jena,Photonics,Master,2.0,0,65.4,850,110,900,0.92,50.9281717,11.5879359
Denmark,Herning,Aarhus University,Engineering Management,Master,2.0,0,66.2,800,450,800,7.45,56.1379757,8.9746623
New Zealand,Auckland,University of Auckland,Computer Science,Master,2.0,32000,79.5,1200,330,600,1.65,-36.852095,174.7631803
USA,Boston,Northeastern University,Data Science,Master,2.0,54000,82.1,2000,160,1500,1.0,42.3554334,-71.060511
Sweden,Stockholm,KTH Royal Institute,Engineering Physics,Master,2.0,0,78.4,1100,120,750,10.45,59.3251172,18.0710935
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,PhD,4.0,15000,81.2,1300,171,720,0.92,52.3730796,4.8924534
Portugal,Lisbon,University of Lisbon,Computer Engineering,Master,2.0,7000,65.8,800,75,400,0.92,38.7077507,-9.1365919
New Zealand,Wellington,Victoria University,Data Analytics,Master,2.0,30000,75.6,1100,330,600,1.65,-41.2887953,174.7772114
USA,Austin,UT Austin,Robotics,PhD,5.0,48000,68.9,1600,160,1500,1.0,30.2711286,-97.7436995
Sweden,Uppsala,Uppsala University,Mathematics,Bachelor,3.0,0,72.3,900,120,750,10.45,59.8586126,17.6387436
Netherlands,Rotterdam,Erasmus University,Business Analytics,Master,2.0,14500,77.8,1200,171,720,0.92,51.9244424,4.47775
Portugal,Porto,University of Porto,Software Engineering,Master,2.0,6500,62.4,700,75,400,0.92,41.1494512,-8.6107884
New Zealand,Christchurch,University of Canterbury,Mechanical Engineering,PhD,4.0,31000,72.4,950,330,600,1.65,-43.530955,172.6364343
USA,San Diego,UC San Diego,Biotechnology,Master,2.0,49000,75.6,1900,160,1500,1.0,32.7174202,-117.162772
Sweden,Gothenburg,Chalmers University,Sustainable Energy,Master,2.0,0,71.2,950,120,750,10.45,57.7072326,11.9670171
Netherlands,Delft,TU Delft,Computer Science,Master,2.0,15500,76.5,1100,171,720,0.92,52.0114017,4.35839
Portugal,Coimbra,University of Coimbra,Data Science,Bachelor,3.0,6000,58.9,600,75,400,0.92,40.2111931,-8.4294632
New Zealand,Dunedin,University of Otago,Information Systems,Master,2.0,29000,70.2,900,330,600,1.65,-45.8740984,170.5035755
USA,Seattle,University of Washington,Computer Engineering,Master,2.0,51000,77.8,2100,160,1500,1.0,47.6038321,-122.330062
Sweden,Lund,Lund University,Physics,PhD,4.0,0,73.4,1000,120,750,10.45,55.7029296,13.1929449
Netherlands,Eindhoven,TU Eindhoven,Artificial Intelligence,Master,2.0,14800,72.3,950,171,720,0.92,51.4392648,5.478633
Portugal,Braga,University of Minho,Computer Science,Master,2.0,6200,57.8,550,75,400,0.92,41.5510583,-8.4280045
New Zealand,Hamilton,University of Waikato,Environmental Science,Master,2.0,28500,68.9,850,330,600,1.65,-37.7878809,175.281788
USA,Atlanta,Georgia Tech,Machine Learning,PhD,5.0,48000,71.2,1700,160,1500,1.0,33.7544657,-84.3898151
Sweden,Linköping,Linköping University,Computer Science,Master,2.0,0,69.8,850,120,750,10.45,58.4098135,15.6245252
Netherlands,Utrecht,Utrecht University,Data Science,Bachelor,3.0,13900,75.4,1100,171,720,0.92,52.0907006,5.1215634
Portugal,Aveiro,University of Aveiro,Robotics,PhD,4.0,6800,56.7,500,75,400,0.92,40.640496,-8.6537841
New Zealand,Palmerston North,Massey University,Computer Engineering,Bachelor,3.0,27500,67.5,800,330,600,1.65,-40.356317,175.6112388
USA,Pittsburgh,Carnegie Mellon,Software Engineering,Master,2.0,56000,65.4,1500,160,1500,1.0,40.4416941,-79.9900861
Sweden,Umeå,Umeå University,Artificial Intelligence,Master,2.0,0,68.5,800,120,750,10.45,63.8256568,20.2630745
Netherlands,Groningen,University of Groningen,Computing Science,PhD,4.0,14200,71.2,900,171,720,0.92,53.2190652,6.5680077
Portugal,Faro,University of Algarve,Information Systems,Master,2.0,5900,55.4,480,75,400,0.92,37.0162727,-7.9351771
New Zealand,Auckland,AUT University,Data Analytics,Master,2.0,29500,79.5,1150,330,600,1.65,-36.852095,174.7631803
USA,Raleigh,NC State University,Computer Science,Master,2.0,47000,67.8,1400,160,1500,1.0,35.7803977,-78.6390989
Sweden,Karlstad,Karlstad University,Information Systems,Bachelor,3.0,0,67.2,750,120,750,10.45,59.3809146,13.5027631
Netherlands,Tilburg,Tilburg University,Data Science,Master,2.0,14000,70.5,950,171,720,0.92,51.5856184,5.0660616
Portugal,Vila Real,UTAD,Computer Engineering,Master,2.0,5700,54.3,450,75,400,0.92,41.5229299,-7.5466312
New Zealand,Christchurch,Lincoln University,Environmental Computing,PhD,4.0,28000,72.4,900,330,600,1.65,-43.530955,172.6364343
USA,Davis,UC Davis,Data Science,Master,2.0,48000,73.2,1600,160,1500,1.0,40.7474784,-92.3965311
Sweden,Växjö,Linnaeus University,Software Engineering,Master,2.0,0,66.5,700,120,750,10.45,56.8787183,14.8094385
Netherlands,Wageningen,Wageningen University,Bioinformatics,Master,2.0,14500,69.8,900,171,720,0.92,51.9685817,5.6682981
Portugal,Funchal,University of Madeira,Computing,Bachelor,3.0,5500,53.2,400,75,400,0.92,32.6496497,-16.9086783
Spain,Madrid,Universidad Politécnica de Madrid,Computer Science,Master,2.0,3500,71.4,1100,80,750,0.92,40.4167047,-3.7035825
Italy,Milan,Politecnico di Milano,Data Engineering,Master,2.0,4000,73.2,1200,120,700,0.92,45.4641943,9.1896346
Greece,Athens,National Technical University,Electrical Engineering,PhD,4.0,0,65.8,650,100,600,0.92,37.9755648,23.7348324
Austria,Vienna,TU Wien,Software Engineering,Master,2.0,1500,78.5,950,160,850,0.92,48.2083537,16.3725042
Mexico,Mexico City,UNAM,Computer Engineering,Bachelor,4.0,800,52.4,600,40,400,17.05,19.3207722,-99.1514678
Spain,Barcelona,Universitat Politècnica Catalunya,Artificial Intelligence,Master,2.0,3800,73.6,1000,80,750,0.92,41.3825802,2.177073
Italy,Rome,Sapienza University,Robotics,PhD,4.0,3500,71.2,1100,120,700,0.92,41.8933203,12.4829321
Greece,Thessaloniki,Aristotle University,Computer Engineering,Master,2.0,0,62.4,500,100,600,0.92,40.6403167,22.9352716
Austria,Graz,TU Graz,Mechanical Engineering,Bachelor,3.0,1500,71.2,750,160,850,0.92,47.0708678,15.4382786
Mexico,Monterrey,Tecnológico de Monterrey,Data Science,Master,2.0,12000,48.9,700,40,400,17.05,25.6802019,-100.315258
Spain,Valencia,Universitat de València,Data Science,Master,2.0,3200,68.5,800,80,750,0.92,39.4697065,-0.3763353
Italy,Turin,Politecnico di Torino,Computer Engineering,Master,2.0,3800,69.8,900,120,700,0.92,45.0677551,7.6824892
Greece,Patras,University of Patras,Electronics,PhD,4.0,0,60.5,450,100,600,0.92,38.246242,21.7350847
Austria,Linz,Johannes Kepler University,Artificial Intelligence,Master,2.0,1500,70.4,700,160,850,0.92,48.3059078,14.286198
Mexico,Guadalajara,Universidad de Guadalajara,Software Engineering,Bachelor,4.0,900,45.6,500,40,400,17.05,20.6720375,-103.338396
Spain,Seville,Universidad de Sevilla,Robotics,Master,2.0,3000,65.4,750,80,750,0.92,37.3886303,-5.9953403
Italy,Bologna,University of Bologna,Information Technology,PhD,4.0,3600,70.5,950,120,700,0.92,44.4938203,11.3426327
Greece,Heraklion,University of Crete,Computer Science,Master,2.0,0,61.2,480,100,600,0.92,35.33908,25.1332843
Austria,Salzburg,University of Salzburg,Data Analytics,Bachelor,3.0,1500,72.3,800,160,850,0.92,47.7981346,13.0464806
Mexico,Puebla,UDLAP,Computer Engineering,Master,2.0,10000,44.5,450,40,400,17.05,18.833333,-98.0
Spain,Bilbao,University of the Basque Country,Computer Science,PhD,4.0,3400,67.8,850,80,750,0.92,43.2630018,-2.9350039
Italy,Florence,University of Florence,Cybersecurity,Master,2.0,3500,71.2,1000,120,700,0.92,43.7697955,11.2556404
Greece,Volos,University of Thessaly,Digital Systems,Master,2.0,0,59.8,400,100,600,0.92,39.3624833,22.9401864
Austria,Innsbruck,University of Innsbruck,Mechatronics,Master,2.0,1500,71.5,780,160,850,0.92,47.2654296,11.3927685
Mexico,Queretaro,Tecnologico de Monterrey,Data Analytics,Bachelor,4.0,11000,46.7,480,40,400,17.05,20.8052225,-99.8837376
Spain,Granada,University of Granada,Artificial Intelligence,Master,2.0,2800,64.5,700,80,750,0.92,37.1734995,-3.5995337
Italy,Naples,University of Naples,Software Engineering,PhD,4.0,3200,67.8,800,120,700,0.92,40.8358846,14.2487679
Greece,Ioannina,University of Ioannina,Information Systems,Bachelor,4.0,0,58.9,380,100,600,0.92,39.6639818,20.8522784
Austria,Klagenfurt,University of Klagenfurt,Data Science,Master,2.0,1500,69.4,720,160,850,0.92,46.623943,14.3075976
Mexico,Merida,Universidad Autonoma de Yucatan,Computer Engineering,Master,2.0,3500,43.2,400,40,400,17.05,20.9670759,-89.6237402
Spain,Zaragoza,University of Zaragoza,Robotics,Master,2.0,2900,63.2,650,80,750,0.92,41.6521342,-0.8809428
Italy,Pisa,University of Pisa,Computer Engineering,Master,2.0,3300,68.9,850,120,700,0.92,43.4714722,10.6797912
Greece,Rhodes,University of the Aegean,Digital Innovation,Master,2.0,0,61.2,420,100,600,0.92,36.1725297,27.9194016
Austria,Leoben,Montanuniversität Leoben,Industrial Engineering,PhD,4.0,1500,68.7,700,160,850,0.92,47.3805128,15.0947756
Mexico,Tijuana,CETYS Universidad,Information Technology,Bachelor,4.0,9500,45.4,550,40,400,17.05,32.5317397,-117.019529
Spain,Salamanca,University of Salamanca,Data Science,PhD,4.0,3100,62.1,600,80,750,0.92,40.9651572,-5.6640182
Italy,Padua,University of Padua,Artificial Intelligence,Master,2.0,3400,69.5,900,120,700,0.92,45.4077172,11.8734455
Greece,Chania,Technical University of Crete,Electronic Engineering,Master,2.0,0,60.4,450,100,600,0.92,35.5120831,24.0191544
Austria,Dornbirn,FH Vorarlberg,Software Development,Bachelor,3.0,1500,70.2,800,160,850,0.92,47.4136351,9.7423762
Mexico,San Luis Potosi,UASLP,Computer Systems,Master,2.0,2800,42.8,380,40,400,17.05,22.5000001,-100.4949145
Turkey,Istanbul,Bogazici University,Computer Engineering,Master,2.0,1500,51.2,600,90,500,28.5,41.006381,28.9758715
Greece,Athens,Athens University of Economics,Data Science,Master,2.0,0,65.8,650,100,600,0.92,37.9755648,23.7348324
Belgium,Leuven,KU Leuven,Artificial Intelligence,PhD,4.0,3800,76.5,950,180,800,0.92,50.879202,4.7011675
Hungary,Budapest,Budapest University of Technology,Software Engineering,Master,2.0,6500,53.4,500,140,450,350.25,47.4813896,19.1460941
Russia,Moscow,Moscow State University,Computer Science,Bachelor,4.0,5500,62.3,600,160,400,95.5,55.625578,37.6063916
Turkey,Ankara,Middle East Technical University,Data Engineering,Master,2.0,1200,48.5,450,90,500,28.5,39.9207759,32.8540497
Greece,Thessaloniki,University of Macedonia,Information Systems,PhD,4.0,0,62.4,500,100,600,0.92,40.6403167,22.9352716
Belgium,Ghent,Ghent University,Computer Science,Master,2.0,3500,72.8,850,180,800,0.92,51.0538286,3.7250121
Hungary,Debrecen,University of Debrecen,Mechatronics,Bachelor,3.0,5800,48.9,400,140,450,350.25,47.531399,21.6259782
Russia,Saint Petersburg,ITMO University,Data Science,Master,2.0,5000,60.1,550,160,400,95.5,59.9606739,30.1586551
Turkey,Izmir,Ege University,Electronics Engineering,PhD,4.0,1300,47.8,400,90,500,28.5,38.23166,27.02997
Greece,Patras,University of Patras,Computer Engineering,Master,2.0,0,60.5,450,100,600,0.92,38.246242,21.7350847
Belgium,Brussels,Vrije Universiteit Brussel,Robotics,Master,2.0,3600,75.4,900,180,800,0.92,50.8465573,4.351697
Hungary,Szeged,University of Szeged,Computer Science,PhD,4.0,6000,47.2,380,140,450,350.25,46.2546312,20.1486016
Russia,Novosibirsk,Novosibirsk State University,Mathematics,Master,2.0,4800,55.4,400,160,400,95.5,55.0288307,82.9226887
Turkey,Eskisehir,Anadolu University,Information Systems,Bachelor,4.0,1000,45.6,350,90,500,28.5,39.7743941,30.519116
Greece,Heraklion,University of Crete,Data Analytics,Master,2.0,0,61.2,480,100,600,0.92,35.33908,25.1332843
Belgium,Antwerp,University of Antwerp,Computer Science,PhD,4.0,3700,71.2,800,180,800,0.92,51.2211097,4.3997081
Hungary,Pecs,University of Pecs,Software Development,Master,2.0,5500,46.8,350,140,450,350.25,46.0765092,18.2280317
Russia,Kazan,Kazan Federal University,Artificial Intelligence,Bachelor,4.0,4500,52.3,380,160,400,95.5,55.7823547,49.1242266
Turkey,Bursa,Uludag University,Computer Science,Master,2.0,1100,46.5,380,90,500,28.5,39.9895878,28.8944669
Greece,Volos,University of Thessaly,Cybersecurity,PhD,4.0,0,59.8,400,100,600,0.92,39.3624833,22.9401864
Belgium,Louvain,UCLouvain,Data Engineering,Master,2.0,3500,70.5,780,180,800,0.92,50.879202,4.7011675
Hungary,Gyor,Szechenyi Istvan University,Robotics,Bachelor,3.0,5200,45.6,320,140,450,350.25,47.687609,17.6346815
Russia,Tomsk,Tomsk State University,Software Engineering,Master,2.0,4600,51.2,350,160,400,95.5,58.6124279,82.0475315
Turkey,Antalya,Akdeniz University,Data Science,PhD,4.0,1400,47.8,420,90,500,28.5,36.8865728,30.7030242
Greece,Piraeus,University of Piraeus,Information Technology,Master,2.0,0,63.4,550,100,600,0.92,37.9431594,23.6470593
Belgium,Hasselt,Hasselt University,Artificial Intelligence,Bachelor,3.0,3400,69.8,750,180,800,0.92,50.9303735,5.3378043
Hungary,Miskolc,University of Miskolc,Computer Engineering,Master,2.0,5300,44.5,300,140,450,350.25,48.1030643,20.7900429
Russia,Yekaterinburg,Ural Federal University,Data Analytics,PhD,4.0,4700,53.4,400,160,400,95.5,56.839104,60.60825
Turkey,Kayseri,Erciyes University,Software Engineering,Master,2.0,1200,45.2,350,90,500,28.5,38.7219011,35.4873214
Greece,Xanthi,Democritus University,Computer Engineering,Bachelor,4.0,0,58.7,380,100,600,0.92,41.13805,24.8864089
Belgium,Liege,University of Liege,Data Science,PhD,4.0,3600,68.9,720,180,800,0.92,50.4708159,5.7735459
Hungary,Veszprem,University of Pannonia,Information Systems,Master,2.0,5100,44.8,310,140,450,350.25,47.0933824,17.9080406
Russia,Samara,Samara State University,Computer Science,Master,2.0,4400,50.5,370,160,400,95.5,53.1956255,50.1014927
Turkey,Konya,Selcuk University,Artificial Intelligence,Bachelor,4.0,1000,44.5,330,90,500,28.5,37.872734,32.4924376
Greece,Chios,University of the Aegean,Digital Systems,Master,2.0,0,59.2,400,100,600,0.92,38.3758131,26.0646552
Belgium,Mons,University of Mons,Computer Engineering,Master,2.0,3500,67.8,700,180,800,0.92,50.4549568,3.951958
Hungary,Kecskemet,John von Neumann University,Data Analytics,PhD,4.0,5400,43.9,290,140,450,350.25,46.9073883,19.6917206
Russia,Rostov-on-Don,Southern Federal University,Information Technology,Bachelor,4.0,4200,49.8,350,160,400,95.5,47.2610441,39.7249086
Brazil,Sao Paulo,University of Sao Paulo,Computer Science,Master,2.0,0,55.8,600,90,400,4.95,-23.5506507,-46.6333824
India,Bangalore,Indian Institute of Science,Data Science,PhD,4.0,2000,45.2,300,180,300,82.75,12.9881567,77.6226
Thailand,Bangkok,Chulalongkorn University,Software Engineering,Master,2.0,15000,51.4,500,80,350,35.25,13.7524938,100.4935089
Egypt,Cairo,Cairo University,Computer Engineering,Bachelor,4.0,2500,31.8,250,100,200,30.9,30.0443879,31.2357257
Singapore,Singapore,National University of Singapore,Artificial Intelligence,Master,2.0,42000,83.8,1200,90,800,1.35,1.357107,103.8194992
UAE,Dubai,University of Dubai,Data Analytics,Master,2.0,25000,72.4,1100,270,750,3.67,25.0742823,55.1885387
Brazil,Rio de Janeiro,PUC-Rio,Information Systems,PhD,4.0,8000,53.2,550,90,400,4.95,-22.9110137,-43.2093727
India,Mumbai,IIT Bombay,Computer Engineering,Master,2.0,1800,47.5,350,180,300,82.75,19.054999,72.8692035
Thailand,Chiang Mai,Chiang Mai University,Data Science,Bachelor,4.0,12000,45.6,300,80,350,35.25,18.7882778,98.9858802
Singapore,Singapore,Nanyang Technological University,Computer Science,PhD,4.0,40000,83.8,1100,90,800,1.35,1.357107,103.8194992
UAE,Abu Dhabi,Khalifa University,Robotics,Master,2.0,27000,71.8,1000,270,750,3.67,24.4538352,54.3774014
Brazil,Campinas,UNICAMP,Computer Engineering,Master,2.0,0,51.4,450,90,400,4.95,-22.9056391,-47.059564
India,Delhi,IIT Delhi,Artificial Intelligence,PhD,4.0,1900,44.8,320,180,300,82.75,28.6273928,77.1716954
Thailand,Khon Kaen,Khon Kaen University,Information Technology,Master,2.0,11000,42.5,250,80,350,35.25,16.4303916,102.8355904
Egypt,Alexandria,Alexandria University,Software Engineering,Master,2.0,2200,30.5,200,100,200,30.9,31.1991806,29.8951716
Singapore,Singapore,Singapore Management University,Data Analytics,Bachelor,4.0,38000,83.8,1150,90,800,1.35,1.357107,103.8194992
UAE,Sharjah,American University of Sharjah,Computer Science,PhD,4.0,26000,68.5,900,270,750,3.67,25.2311534,54.2190083
Brazil,Porto Alegre,UFRGS,Data Science,Bachelor,4.0,0,49.8,400,90,400,4.95,-30.0324999,-51.2303767
India,Chennai,IIT Madras,Software Engineering,Master,2.0,1700,42.4,280,180,300,82.75,13.0836939,80.270186
Thailand,Phuket,Prince of Songkla University,Computer Engineering,Master,2.0,10000,44.8,300,80,350,35.25,7.9366015,98.3529292
Egypt,Giza,Ain Shams University,Data Science,PhD,4.0,2400,31.2,220,100,200,30.9,29.9870753,31.2118063
Singapore,Singapore,Singapore University of Technology,Artificial Intelligence,Master,2.0,39000,83.8,1100,90,800,1.35,1.357107,103.8194992
UAE,Ajman,Ajman University,Information Systems,Bachelor,4.0,23000,65.4,800,270,750,3.67,25.5091287,55.3619072
Brazil,Recife,UFPE,Computer Engineering,Master,2.0,0,47.5,350,90,400,4.95,-8.0584933,-34.8848193
India,Hyderabad,IIT Hyderabad,Data Analytics,PhD,4.0,1800,41.2,260,180,300,82.75,17.360589,78.4740613
Thailand,Hat Yai,Prince of Songkla University,Software Engineering,Bachelor,4.0,9500,43.2,280,80,350,35.25,7.0074644,100.4689889
Egypt,Port Said,Port Said University,Computer Science,Master,2.0,2100,29.8,180,100,200,30.9,31.263235,32.305505
Singapore,Singapore,SUTD,Robotics,PhD,4.0,37000,83.8,1050,90,800,1.35,1.357107,103.8194992
UAE,Al Ain,UAE University,Data Science,Master,2.0,24000,64.2,750,270,750,3.67,24.2248697,55.7452211
Brazil,Florianopolis,UFSC,Information Technology,PhD,4.0,0,48.9,400,90,400,4.95,-27.5973002,-48.5496098
